monthyear,business_level,category,brand,Sales Amount,Spend on meta Amount,Spend on tv Amount,Spend on ucontent Amount,Spend on youtube Amount
2020-10-01,Business Unit 1,Category 2,Brand 4,132069543284.112,2610082378.22919,6199915885.878154,0.0,0.0
2020-11-01,Business Unit 1,Category 2,Brand 4,127580065404.336,3162994750.66976,4509332870.043325,0.0,0.0
2020-12-01,Business Unit 1,Category 2,Brand 4,127846347201.054,3034872691.638597,0.0,0.0,0.0
2021-01-01,Business Unit 1,Category 2,Brand 4,126175402710.08,2456152168.152809,5913103211.271999,0.0,0.0
2021-02-01,Business Unit 1,Category 2,Brand 4,99509325095.633,2755083253.104809,5985425126.344,0.0,0.0
2021-03-01,Business Unit 1,Category 2,Brand 4,106807895572.102,3321179706.962304,5955620547.855,0.0,0.0
2021-04-01,Business Unit 1,Category 2,Brand 4,108698954309.79001,3652753176.6037,5630810301.118999,0.0,0.0
2021-05-01,Business Unit 1,Category 2,Brand 4,130845553116.597,3979878523.8425,4874614194.328,0.0,314159000.0
2021-06-01,Business Unit 1,Category 2,Brand 4,122279469827.23,2558920559.336,4886625121.216,0.0,314159000.0
2021-07-01,Business Unit 1,Category 2,Brand 4,109413157725.528,4782051643.204,4593549960.024,0.0,0.0
2021-08-01,Business Unit 1,Category 2,Brand 4,107358275750.746,2466148150.0,4686621448.728,0.0,471238500.0
2021-09-01,Business Unit 1,Category 2,Brand 4,107013271991.808,1676440950.86461,4518383021.047999,0.0,0.0
2021-10-01,Business Unit 1,Category 2,Brand 4,121329022613.4,2091971049.11011,4442374135.952,0.0,0.0
2021-11-01,Business Unit 1,Category 2,Brand 4,128703865554.366,2101135682.89175,3917866653.69978,0.0,0.0
2021-12-01,Business Unit 1,Category 2,Brand 4,119127516978.456,1803277425.79203,4235431432.56924,0.0,0.0
2022-01-01,Business Unit 1,Category 2,Brand 4,129976090752.264,1231503280.0,9830534088.739698,81025671.51461376,2356192500.0
2022-02-01,Business Unit 1,Category 2,Brand 4,114493958869.782,1563751555.22,9950769272.5469,81025671.51461376,2356192500.0
2022-03-01,Business Unit 1,Category 2,Brand 4,112320967876.473,5930289216.5352,5360058493.0695,81025671.51461376,2356192500.0
2022-04-01,Business Unit 1,Category 2,Brand 4,105121610068.84,2522297788.07,4786188755.95115,81025671.51461376,0.0
2022-05-01,Business Unit 1,Category 2,Brand 4,131954852629.664,1666644910.9,4920313702.399824,81025671.51461376,0.0
2022-06-01,Business Unit 1,Category 2,Brand 4,119781538211.2,9469907256.13873,4932437231.7274,81025671.51461376,753981600.0
2022-07-01,Business Unit 1,Category 2,Brand 4,105175645730.999,2745749660.0,7091292750.787049,81025671.51461376,0.0
2022-08-01,Business Unit 1,Category 2,Brand 4,126490147302.456,5838208333.99,7234971861.473848,81025671.51461376,0.0
2022-09-01,Business Unit 1,Category 2,Brand 4,113387798119.284,3593978960.0,6975253788.742848,81025671.51461376,2356192500.0
2022-10-01,Business Unit 1,Category 2,Brand 4,126076194439.47,10858000196.28434,6857915072.375899,81025671.51461376,0.0
2022-11-01,Business Unit 1,Category 2,Brand 4,107385429769.752,7060723525.0,6748347722.899899,81025671.51461376,0.0
2022-12-01,Business Unit 1,Category 2,Brand 4,108662952630.867,14547419488.67127,5507008486.244608,81025671.51461376,0.0
2023-01-01,Business Unit 1,Category 2,Brand 4,108010015560.832,2524240214.31746,8075081572.893323,0.0,3926987500.0
2023-02-01,Business Unit 1,Category 2,Brand 4,102880845868.62001,1887382800.92808,5999214323.547985,0.0,3926987500.0
2023-03-01,Business Unit 1,Category 2,Brand 4,97964816721.63998,7708427403.52798,6255238058.755196,0.0,3926987500.0
2023-04-01,Business Unit 1,Category 2,Brand 4,112170239728.976,2003621630.92808,6475431846.286849,0.0,2042033500.0
2023-05-01,Business Unit 1,Category 2,Brand 4,112298426654.064,7972642630.92808,5978316496.71309,0.0,1570795000.0
2023-06-01,Business Unit 1,Category 2,Brand 4,110254755757.356,11492794225.92808,3091787595.80851,0.0,1884954000.0
2023-07-01,Business Unit 1,Category 2,Brand 4,108929873741.15001,5086034332.61943,5868086934.62258,0.0,1570795000.0
2023-08-01,Business Unit 1,Category 2,Brand 4,123911069359.203,3238266500.92808,5695994727.91435,0.0,1570795000.0
2023-09-01,Business Unit 1,Category 2,Brand 4,114278895671.47,15327665949.74275,6170416813.118674,0.0,1570795000.0
2023-10-01,Business Unit 1,Category 2,Brand 4,118155686846.45,5057247110.92808,5946041836.80341,0.0,942477000.0
2023-11-01,Business Unit 1,Category 2,Brand 4,121229130104.48799,3683427918.97408,3893277532.44225,0.0,0.0
